DATE,Euro  (Jan. 1999-),US Dollars  (Jan. 1977-),UK Pounds Sterling  (Jan. 1981-),Japanese Yen  (Jan. 1981-)
2018M01D02,744.4,617,836.8,5.5
2018M01D03,744.4,619.2,839.8,5.5
2018M01D04,744.5,617.1,835.5,5.5
2018M01D05,744.6,618.2,837.7,5.5
2018M01D08,744.7,622,842.3,5.5
2018M01D09,744.7,624.1,843.7,5.5
2018M01D10,744.7,621,839.8,5.6
2018M01D11,744.7,619.7,836.1,5.5
2018M01D12,744.9,613.7,837.1,5.5
2018M01D15,745,606.8,836.6,5.5
2018M01D16,744.9,609.1,838.3,5.5
2018M01D17,744.7,610.3,840.8,5.5
2018M01D18,744.8,608.7,844.3,5.5
2018M01D19,744.5,607.5,842.6,5.5
2018M01D22,744.4,608.2,845.1,5.5
2018M01D23,744.4,607.7,847.5,5.5
2018M01D24,744.5,602.7,854,5.5
2018M01D25,744.4,600,855.3,5.5
2018M01D26,744.3,598.5,852.2,5.5
2018M01D29,744.3,601.2,846.3,5.5
2018M01D30,744.2,599.1,846.3,5.5
2018M01D31,744.2,597.4,846.5,5.5
2018M02D01,744.3,597.4,850.4,5.4
2018M02D02,744.3,595.8,847.2,5.4
2018M02D05,744.3,598.3,840.4,5.4
2018M02D06,744.3,603.7,837.4,5.5
2018M02D07,744.3,603.3,839.4,5.5
2018M02D08,744.2,607.4,850.4,5.5
2018M02D09,744.4,606.5,838.8,5.6
2018M02D12,744.6,607.2,840.4,5.6
2018M02D13,744.9,604,837.6,5.6
2018M02D14,744.9,603.2,836.6,5.6
2018M02D15,744.9,596.3,840.2,5.6
2018M02D16,744.8,597.6,838.7,5.6
2018M02D19,744.8,600.2,840.7,5.6
2018M02D20,744.7,603.5,844.7,5.6
2018M02D21,744.7,604.8,841.8,5.6
2018M02D22,744.6,606.6,842.9,5.7
2018M02D23,744.7,605.5,846.8,5.7
2018M02D26,744.6,604.4,847.9,5.7
2018M02D27,744.6,605.3,842.3,5.7
2018M02D28,744.7,609.7,842.2,5.7
2018M03D01,744.7,611.9,841.3,5.7
2018M03D02,744.8,604.9,833.8,5.7
2018M03D05,744.7,605.1,836.1,5.7
2018M03D06,744.9,600.2,835.5,5.7
2018M03D07,745,600,832.3,5.7
2018M03D08,745.1,599.8,832.8,5.7
2018M03D09,744.9,606.1,838,5.7
2018M03D12,745,605.6,840.9,5.7
2018M03D13,744.9,601.8,840.2,5.6
2018M03D14,744.9,602.3,840.5,5.7
2018M03D15,744.9,603.6,841.9,5.7
2018M03D16,744.9,605.5,844,5.7
2018M03D19,744.8,605.1,850.3,5.7
2018M03D20,744.9,606.8,849.2,5.7
2018M03D21,744.9,606.3,852.2,5.7
2018M03D22,744.8,604.8,854.2,5.7
2018M03D23,744.8,603.3,853.3,5.7
2018M03D26,744.8,600.1,853.7,5.7
2018M03D27,744.9,601.9,847,5.7
2018M03D28,745.1,601,850.6,5.7
2018M04D03,744.9,605.2,851.1,5.7
2018M04D04,745,606.9,850.7,5.7
2018M04D05,744.7,607.4,852.1,5.7
2018M04D06,744.7,608.8,853.1,5.7
