DATE,TIME_PERIOD,UK_pound,Japanese_yen,US_dollar
1/2/2018,2-Jan-18,0.89,135.35,1.21
1/3/2018,3-Jan-18,0.89,134.97,1.2
1/4/2018,4-Jan-18,0.89,135.92,1.21
1/5/2018,5-Jan-18,0.89,136.45,1.2
1/8/2018,8-Jan-18,0.88,135.34,1.2
1/9/2018,9-Jan-18,0.88,134.31,1.19
1/10/2018,10-Jan-18,0.89,133.62,1.2
1/11/2018,11-Jan-18,0.89,134.19,1.2
1/12/2018,12-Jan-18,0.89,134.88,1.21
1/15/2018,15-Jan-18,0.89,135.81,1.23
1/16/2018,16-Jan-18,0.89,135.4,1.22
1/17/2018,17-Jan-18,0.89,135.21,1.22
1/18/2018,18-Jan-18,0.88,136.07,1.22
1/19/2018,19-Jan-18,0.88,135.54,1.23
1/22/2018,22-Jan-18,0.88,135.66,1.22
1/23/2018,23-Jan-18,0.88,135.35,1.22
1/24/2018,24-Jan-18,0.87,135.13,1.24
1/25/2018,25-Jan-18,0.87,135.12,1.24
1/26/2018,26-Jan-18,0.87,135.95,1.24
1/29/2018,29-Jan-18,0.88,134.75,1.24
1/30/2018,30-Jan-18,0.88,134.98,1.24
1/31/2018,31-Jan-18,0.88,135.6,1.25
2/1/2018,1-Feb-18,0.88,136.62,1.25
2/2/2018,2-Feb-18,0.88,137.22,1.25
2/5/2018,5-Feb-18,0.89,136.67,1.24
2/6/2018,6-Feb-18,0.89,134.97,1.23
2/7/2018,7-Feb-18,0.89,134.84,1.23
2/8/2018,8-Feb-18,0.88,134.31,1.23
2/9/2018,9-Feb-18,0.89,133.59,1.23
2/12/2018,12-Feb-18,0.89,133.23,1.23
2/13/2018,13-Feb-18,0.89,132.82,1.23
2/14/2018,14-Feb-18,0.89,132.4,1.23
2/15/2018,15-Feb-18,0.89,133.11,1.25
2/16/2018,16-Feb-18,0.89,132.34,1.25
2/19/2018,19-Feb-18,0.89,132.24,1.24
2/20/2018,20-Feb-18,0.88,132.25,1.23
2/21/2018,21-Feb-18,0.88,132.41,1.23
2/22/2018,22-Feb-18,0.88,131.47,1.23
2/23/2018,23-Feb-18,0.88,131.28,1.23
2/26/2018,26-Feb-18,0.88,131.6,1.23
2/27/2018,27-Feb-18,0.88,131.77,1.23
2/28/2018,28-Feb-18,0.88,130.72,1.22
3/1/2018,1-Mar-18,0.89,129.98,1.22
3/2/2018,2-Mar-18,0.89,129.77,1.23
3/5/2018,5-Mar-18,0.89,130.02,1.23
3/6/2018,6-Mar-18,0.89,131.84,1.24
3/7/2018,7-Mar-18,0.9,131.41,1.24
3/8/2018,8-Mar-18,0.89,131.83,1.24
3/9/2018,9-Mar-18,0.89,131.31,1.23
3/12/2018,12-Mar-18,0.89,131.04,1.23
3/13/2018,13-Mar-18,0.89,132.31,1.24
3/14/2018,14-Mar-18,0.89,131.77,1.24
3/15/2018,15-Mar-18,0.88,130.9,1.23
3/16/2018,16-Mar-18,0.88,130.21,1.23
3/19/2018,19-Mar-18,0.88,130.65,1.23
3/20/2018,20-Mar-18,0.88,130.72,1.23
3/21/2018,21-Mar-18,0.87,130.5,1.23
